fold,epoch,model,train_loss,train_acc,val_loss,val_acc,val_f1,zone_mae_mm
1,1,single,1.3782903022236295,0.5128205128205128,1.172832731405894,0.6666666666666666,0.5333333333333333,
1,2,single,1.2471278299633255,0.6495726495726496,1.0656235456466674,0.6666666666666666,0.5333333333333333,
1,3,single,1.3155478419911149,0.6581196581196581,1.0588484764099122,0.6666666666666666,0.5333333333333333,
1,4,single,1.2689618656777928,0.5811965811965812,1.1096610347429912,0.6666666666666666,0.5333333333333333,
1,5,single,1.2921948809909005,0.6581196581196581,1.0716741760571797,0.6666666666666666,0.5333333333333333,
1,6,single,1.2569234697227805,0.6581196581196581,1.1486969908078513,0.6666666666666666,0.5333333333333333,
1,7,single,1.251879329355354,0.6581196581196581,1.068745783964793,0.6666666666666666,0.5333333333333333,
1,8,single,1.2446067460581787,0.6581196581196581,1.066501259803772,0.6666666666666666,0.5333333333333333,
1,9,single,1.245331730088617,0.6581196581196581,1.1024481058120728,0.6666666666666666,0.5333333333333333,
1,10,single,1.229186995416625,0.6581196581196581,1.07464200258255,0.6666666666666666,0.5333333333333333,
1,11,single,1.250031920070322,0.6581196581196581,1.0598628958066305,0.6666666666666666,0.5333333333333333,
1,12,single,1.2476771265013604,0.6581196581196581,1.0614370981852213,0.6666666666666666,0.5333333333333333,
1,13,single,1.2608347035880783,0.6581196581196581,1.0708986600240071,0.6666666666666666,0.5333333333333333,
1,14,single,1.24710980643574,0.6495726495726496,1.0717540423075358,0.6666666666666666,0.5333333333333333,
1,15,single,1.1951463823644524,0.6581196581196581,1.0717042247454325,0.6666666666666666,0.5333333333333333,
2,1,single,1.2635153481084058,0.5982905982905983,1.1969706932703654,0.6333333333333333,0.49115646258503404,
2,2,single,1.1768682196608975,0.6410256410256411,1.20594824552536,0.6333333333333333,0.49115646258503404,
2,3,single,1.2437031592568781,0.6666666666666666,1.1815683484077453,0.6333333333333333,0.49115646258503404,
2,4,single,1.1901112962991764,0.6666666666666666,1.176792812347412,0.6333333333333333,0.49115646258503404,
2,5,single,1.213110972673465,0.6666666666666666,1.1565155466397603,0.6333333333333333,0.49115646258503404,
2,6,single,1.1724762223724625,0.6666666666666666,1.153171424070994,0.6333333333333333,0.49115646258503404,
