fold,accuracy,weighted_f1,kappa,species_acc,zone_mae_mm
1,0.9333333333333333,0.9281842818428184,0.8648648648648649,0.7,4.056532577518391
2,0.9333333333333333,0.9306943306943307,0.8814229249011858,0.43333333333333335,4.782986356519143
3,0.9310344827586207,0.9340167753960857,0.8736383442265795,0.5517241379310345,4.309208389177496
4,0.9655172413793104,0.9636363636363636,0.9340909090909091,0.6206896551724138,4.879603670305755
5,0.9655172413793104,0.9622331691297209,0.9294403892944039,0.7241379310344828,4.273184491280418
